MED0,Aspirin_Methane,Syrup,Price-Clay,2024-05-15,287 mg,
MED1,Aspirin_Ethanol,Tablet,Sims LLC,2024-07-19,295 mg,
MED2,Aspirin_Acetone,Injection,"Aguilar, Peterson and Pineda",2023-06-29,392 mg,
MED3,Aspirin_Benzene,Tablet,"Ryan, Gibson and Cunningham",2024-07-04,364 mg,
MED4,Aspirin_Toluene,Injection,"Vazquez, Wiggins and Fisher",2023-01-16,124 mg,
MED5,Aspirin_Formaldehyde,Injection,Ingram-Rollins,2023-01-01,349 mg,
MED6,Aspirin_Acetic Acid,Tablet,Williams Group,2024-09-14,158 mg,
MED7,Aspirin_Methanol,Syrup,Moody-Frey,2023-06-16,256 mg,
MED8,Aspirin_Ethylene,Injection,Jackson-Aguilar,2023-09-21,426 mg,
MED9,Aspirin_Propylene,Injection,Brown Inc,2022-12-19,184 mg,
MED10,Aspirin_Butane,Tablet,Simon-Hanson,2024-08-13,75 mg,
MED11,Aspirin_Isoprene,Syrup,"Hunter, Bernard and Oconnor",2024-02-13,410 mg,
MED12,Aspirin_Styrene,Tablet,"Davis, Burns and Odonnell",2024-05-17,142 mg,
MED13,Aspirin_Xylene,Injection,Foster and Sons,2023-11-09,57 mg,
MED14,Aspirin_Naphthalene,Syrup,Crawford PLC,2023-04-27,363 mg,
MED15,Aspirin_Phenol,Injection,Valencia-Jones,2023-06-21,28 mg,
MED16,Aspirin_Aniline,Injection,Garrett PLC,2023-01-23,4 mg,
MED17,Aspirin_Ethylene Glycol,Injection,"White, Miller and Bright",2024-05-03,425 mg,
MED18,Aspirin_Glycerol,Syrup,Martinez-Thompson,2023-03-04,235 mg,
MED19,Aspirin_Furfural,Injection,Smith-Burnett,2024-02-25,367 mg,
MED20,Aspirin_Hexane,Tablet,Young-Hicks,2024-03-03,129 mg,
MED21,Aspirin_Heptane,Syrup,"Pope, Mccarthy and Gonzalez",2022-10-08,44 mg,
MED22,Aspirin_Octane,Syrup,"Palmer, Wright and Little",2023-03-07,246 mg,
MED23,Aspirin_Nonane,Tablet,"Silva, Rosales and Ramirez",2024-07-09,301 mg,
MED24,Aspirin_Decane,Injection,"Davies, Torres and Price",2023-10-14,90 mg,
MED25,Aspirin_Glucose,Injection,Baird LLC,2024-06-26,188 mg,
MED26,Aspirin_Fructose,Tablet,Mueller-Davis,2023-11-29,389 mg,
MED27,Aspirin_Sucrose,Tablet,Franklin-Garner,2023-12-05,242 mg,
MED28,Aspirin_Lactose,Tablet,Stewart-Hill,2023-07-25,468 mg,
MED29,Aspirin_Cellulose,Syrup,Sanchez-Christian,2024-07-28,322 mg,
MED30,Aspirin_Chloroform,Tablet,"Howell, Wood and Rojas",2023-11-01,391 mg,
MED31,Aspirin_Carbon Tetrachloride,Syrup,Allen-Williams,2024-01-21,455 mg,
MED32,Aspirin_Acetaldehyde,Injection,"Anderson, Jackson and Yates",2024-09-11,101 mg,
MED33,Aspirin_Butadiene,Injection,Salazar LLC,2024-06-23,124 mg,
MED34,Aspirin_Cyclohexane,Tablet,"Howard, Garcia and Macias",2023-01-13,264 mg,
MED35,Aspirin_Cyclopentane,Syrup,"Warner, Smith and Price",2024-01-01,273 mg,
MED36,Aspirin_Cyclohexene,Injection,"Medina, Lopez and Knight",2023-11-14,394 mg,
MED37,Aspirin_Cyclohexanol,Tablet,Watson Group,2023-10-31,9 mg,
MED38,Aspirin_Cyclohexanone,Tablet,Atkins-Alvarez,2023-02-14,313 mg,
MED39,Aspirin_Acetylene,Injection,Mann-Robinson,2023-04-05,212 mg,
MED40,Aspirin_Propyne,Syrup,Lopez-Dennis,2023-03-21,197 mg,
MED41,Aspirin_Butyne,Injection,Smith PLC,2023-04-24,215 mg,
MED42,Aspirin_Pentene,Injection,Brown-Kelley,2023-08-30,184 mg,
MED43,Aspirin_Hexene,Injection,"Zimmerman, Evans and Hunter",2024-03-24,174 mg,
MED44,Aspirin_Heptene,Injection,"Guzman, Long and Williams",2022-11-11,63 mg,
MED45,Aspirin_Methylamine,Tablet,Robinson-Shaw,2023-05-16,374 mg,
